pkyeardaystatefc,pkyearday,pkyeardaystate,fccomponent,electionyear,daystoelection,fcdate,state,forecast,nfcvs,nfcwinprob,nfcwinfreq,fcevrep,fcevdem,fcwinner,fcwinnervs,fcwinnerwinprob,fcwinnerwinfreq,fcwinnerpollyvotefreq,fcrepvs,fcdemvs,fcrepwinprob,fcdemwinprob,fcrepwinfreq,fcdemwinfreq,fcrepwinpollyvotefreq,fcdemwinpollyvotefreq,fcerror,absolutefcerror,fcupdate,lastsurveyday,firstsurveyday,inc2party,resprep,respdem,respoth,respundecided,released,sample,moe,questiontxt,sampledesc,intmethod,surveyorg,surveysponsor,sourcedocumentlink,matchup,_lastupdate
20160NationalYouGov,20160,20160National,polls_NL,2016,0,08.11.2016,National,YouGov,,0.00,0.00,0,0,,D,0.00,0,0,47.31,52.69,0.00,0.00,0,0,0,0,0.00,0.00,0,,,52.69,0.00,0.00,0.00,0.00,,0,0.00,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/yougov/,trump-vs-clinton,1477519311
20160NationalTPM,20160,20160National,polls_NL,2016,0,08.11.2016,National,"TPM Poll Tracker",,,,,,,D,,,,47.53,52.47,,,0,0,,,,,0,,,52.47,43.22886450868106,47.72329125505152,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/tpm-poll-tracker/,trump-vs-clinton,1478559730
20160NationalRealClearPolitics,20160,20160National,polls_NL,2016,0,08.11.2016,National,RealClearPolitics,,,,,,,D,,,,48.36,51.64,,,0,0,,,,,0,,,51.64,,,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/realclearpolitics/,trump-vs-clinton,1478581256
20160NationalPEC,20160,20160National,polls_NL,2016,0,08.11.2016,National,PEC,,,,,,,D,,,,48.65,51.35,,,0,0,,,,,0,,,51.35,,,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/princeton-election-consortium/,trump-vs-clinton,1478559720
20160NationalHuffPost,20160,20160National,polls_NL,2016,0,08.11.2016,National,"HuffPost Pollster",,,,,,,D,,,,47.1,52.90,,,0,0,,,,,0,,,52.90,,,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/huffpost-pollster/,trump-vs-clinton,1478561105
20160NationalElection,20160,20160National,polls_NL,2016,0,08.11.2016,National,"Election Projection",,,,,,,D,,,,48.53,51.47,,,0,0,,,,,0,,,51.47,46.1,48.9,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/election-projection/,trump-vs-clinton,1478559705
20160National538,20160,20160National,polls_NL,2016,0,08.11.2016,National,"538 (polls-only)",,,,,,,D,,,,48.08,51.92,,,0,0,,,,,1,,,51.92,0.45,0.486,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/538-polls/,trump-vs-clinton,1478592290
20160National270,20160,20160National,polls_NL,2016,0,08.11.2016,National,"270 to win",,,,,,,D,,,,48.02,51.98,,,0,0,,,,,0,,,51.98,0.436,0.472,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/270-to-win/,trump-vs-clinton,1478559711
20160NationalYouGov/Economist,20160,20160National,polls_NL,2016,0,08.11.2016,National,YouGov/Economist,,0.00,0.00,0,0,,D,0.00,0,0,47.87,52.13,0.00,0.00,0,0,0,0,0.00,0.00,0,04.11.2016,07.11.2016,52.13,45.00,49.00,0.00,7.00,,3669,1.65,,"Likely Voters",Internet,"individual poll",,,,1478561030
20160NationalUPI/CVOTER,20160,20160National,polls_NL,2016,0,08.11.2016,National,UPI/CVOTER,,0.00,0.00,0,0,,D,0.00,0,0,48.42,51.58,0.00,0.00,0,0,0,0,0.00,0.00,0,30.10.2016,05.11.2016,51.58,46.00,49.00,0.00,5.00,,1572,2.52,,"Likely Voters",Internet,"individual poll",,,,1478474645
20160NationalNBC/WSJ,20160,20160National,polls_NL,2016,0,08.11.2016,National,NBC/WSJ,,0.00,0.00,0,0,,D,0.00,0,0,47.25,52.75,0.00,0.00,0,0,0,0,0.00,0.00,0,03.11.2016,05.11.2016,52.75,43.00,48.00,6.00,3.00,,1282,2.79,,"Likely Voters","Live Phone","individual poll",,,,1478474631
20160NationalNBC/SurveyMonkey,20160,20160National,polls_NL,2016,0,08.11.2016,National,NBC/SurveyMonkey,,0.00,0.00,0,0,,D,0.00,0,0,46.32,53.68,0.00,0.00,0,0,0,0,0.00,0.00,0,24.10.2016,30.10.2016,53.68,44.00,51.00,5.00,0.00,,40816,0.49,,"Likely Voters",Internet,"individual poll",,,,1477956248
20160NationalMonmouth,20160,20160National,polls_NL,2016,0,08.11.2016,National,"Monmouth University",,0.00,0.00,0,0,,D,0.00,0,0,46.81,53.19,0.00,0.00,0,0,0,0,0.00,0.00,0,03.11.2016,06.11.2016,53.19,44.00,50.00,1.00,5.00,,748,3.66,,"Likely Voters","Live Phone","individual poll",,,,1478561054
20160NationalMonmouth,20160,20160National,polls_NL,2016,0,08.11.2016,National,Monmouth,,,,,,,D,,,,46.81,53.19,,,0,0,,,,,0,03.11.2016,06.11.2016,53.19,44,50,,,,748,3.6,,,,"individual poll",,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/568faad2-81ab-4bd0-b373-8577326e76bd.pdf,,1478559693
20160NationalIBD/TIPP,20160,20160National,polls_NL,2016,0,08.11.2016,National,IBD/TIPP,,,,,,,D,,,,49.41,50.59,,,0,0,,,,,0,03.11.2016,06.11.2016,50.59,42,43,9,5,,1026,3.1219527052723137,,"Likely Voters","Live Phone","individual poll",,,,1478561068
20160NationalIBD,20160,20160National,polls_NL,2016,0,08.11.2016,National,IBD,,,,,,,D,,,,49.41,50.59,,,0,0,,,,,0,03.11.2016,06.11.2016,50.59,42,43,,,,1026,3.1,,,,"individual poll",,http://www.investors.com/politics/clintons-lead-over-trump-narrows-as-disappointment-with-choices-grows/,,1478559673
20160NationalFOX,20160,20160National,polls_NL,2016,0,08.11.2016,National,FOX,,,,,,,D,,,,47.83,52.17,,,0,0,,,,,0,03.11.2016,06.11.2016,52.17,44,48,7,2,,1295,2.778850071883642,,"Likely Voters","Live Phone","individual poll",,http://www.foxnews.com/politics/2016/06/09/fox-news-poll-trump-drops-now-trails-clinton.html?intcmp=hpbt1,,1478561061
20160NationalEconomist,20160,20160National,polls_NL,2016,0,08.11.2016,National,Economist,,,,,,,D,,,,47.87,52.13,,,0,0,,,,,0,04.11.2016,07.11.2016,52.13,45,49,,,,3669,1.6509204383655283,,,,"individual poll",,http://www.realclearpolitics.com/docs/2016/Economist_YouGov_General_Election_June_18_20.pdf,,1478559666
20160NationalCBS/Times,20160,20160National,polls_NL,2016,0,08.11.2016,National,CBS/Times,,0.00,0.00,0,0,,D,0.00,0,0,47.78,52.22,0.00,0.00,0,0,0,0,0.00,0.00,0,02.11.2016,06.11.2016,52.22,43.00,47.00,5.00,5.00,,1426,2.65,,"Likely Voters","Live Phone","individual poll",,,,1478561076
20160NationalCBS,20160,20160National,polls_NL,2016,0,08.11.2016,National,CBS,,0.00,0.00,0,0,,D,0.00,0,0,47.78,52.22,0.00,0.00,0,0,0,0,0.00,0.00,0,02.11.2016,06.11.2016,52.22,43.00,47.00,0.00,0.00,,1426,3.00,,,,"individual poll",,http://www.cbsnews.com/news/clinton-maintains-lead-after-claiming-nomination-cbs-news-poll/,,1478559700
20160NationalBloomberg/Selzer,20160,20160National,polls_NL,2016,0,08.11.2016,National,Bloomberg/Selzer,,0.00,0.00,0,0,,D,0.00,0,0,48.31,51.69,0.00,0.00,0,0,0,0,0.00,0.00,0,04.11.2016,06.11.2016,51.69,43.00,46.00,6.00,5.00,,799,3.54,,"Likely Voters","Live Phone","individual poll",,,,1478561038
20160NationalBloomberg,20160,20160National,polls_NL,2016,0,08.11.2016,National,Bloomberg,,0.00,0.00,0,0,,D,0.00,0,0,48.31,51.69,0.00,0.00,0,0,0,0,0.00,0.00,0,04.11.2016,06.11.2016,51.69,43.00,46.00,0.00,0.00,,799,3.50,,,,"individual poll",,http://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rc0NltTBR0ug/v0,,1478559659
20160NationalABC/Post,20160,20160National,polls_NL,2016,0,08.11.2016,National,ABC/Post,,,,,,,D,,,,48.42,51.58,,,0,0,,,,,0,03.11.2016,06.11.2016,51.58,46,49,2,3,,2220,2.1223817998900443,,"Likely Voters","Live Phone","individual poll",,,,1478561046
20160NationalABC,20160,20160National,polls_NL,2016,0,08.11.2016,National,ABC,,,,,,,D,,,,48.42,51.58,,,0,0,,,,,0,03.11.2016,06.11.2016,51.58,46,49,,,,2220,2.5,,,,"individual poll",,,,1478559680
20161NationalYouGov,20161,20161National,polls_NL,2016,1,07.11.2016,National,YouGov,,0.00,0.00,0,0,,D,0.00,0,0,47.31,52.69,0.00,0.00,0,0,0,0,0.00,0.00,0,,,52.69,0.00,0.00,0.00,0.00,,0,0.00,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/yougov/,trump-vs-clinton,1477519311
20161NationalTPM,20161,20161National,polls_NL,2016,1,07.11.2016,National,"TPM Poll Tracker",,,,,,,D,,,,47.53,52.47,,,0,0,,,,,1,,,52.47,43.22886450868106,47.72329125505152,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/tpm-poll-tracker/,trump-vs-clinton,1478559730
20161NationalRealClearPolitics,20161,20161National,polls_NL,2016,1,07.11.2016,National,RealClearPolitics,,,,,,,D,,,,48.36,51.64,,,0,0,,,,,1,,,51.64,,,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/realclearpolitics/,trump-vs-clinton,1478581256
20161NationalPEC,20161,20161National,polls_NL,2016,1,07.11.2016,National,PEC,,,,,,,D,,,,48.65,51.35,,,0,0,,,,,1,,,51.35,,,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/princeton-election-consortium/,trump-vs-clinton,1478559720
20161NationalHuffPost,20161,20161National,polls_NL,2016,1,07.11.2016,National,"HuffPost Pollster",,,,,,,D,,,,47.1,52.90,,,0,0,,,,,1,,,52.90,,,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/huffpost-pollster/,trump-vs-clinton,1478561105
20161NationalElection,20161,20161National,polls_NL,2016,1,07.11.2016,National,"Election Projection",,,,,,,D,,,,48.53,51.47,,,0,0,,,,,1,,,51.47,46.1,48.9,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/election-projection/,trump-vs-clinton,1478559705
20161National538,20161,20161National,polls_NL,2016,1,07.11.2016,National,"538 (polls-only)",,,,,,,D,,,,48.25,51.75,,,0,0,,,,,1,,,51.75,0.454,0.487,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/538-polls/,trump-vs-clinton,1478559716
20161National270,20161,20161National,polls_NL,2016,1,07.11.2016,National,"270 to win",,,,,,,D,,,,48.02,51.98,,,0,0,,,,,1,,,51.98,0.436,0.472,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/270-to-win/,trump-vs-clinton,1478559711
20161NationalYouGov/Economist,20161,20161National,polls_NL,2016,1,07.11.2016,National,YouGov/Economist,,0.00,0.00,0,0,,D,0.00,0,0,47.87,52.13,0.00,0.00,0,0,0,0,0.00,0.00,0,04.11.2016,07.11.2016,52.13,45.00,49.00,0.00,7.00,,3669,1.65,,"Likely Voters",Internet,"individual poll",,,,1478561030
20161NationalUPI/CVOTER,20161,20161National,polls_NL,2016,1,07.11.2016,National,UPI/CVOTER,,0.00,0.00,0,0,,D,0.00,0,0,48.42,51.58,0.00,0.00,0,0,0,0,0.00,0.00,0,30.10.2016,05.11.2016,51.58,46.00,49.00,0.00,5.00,,1572,2.52,,"Likely Voters",Internet,"individual poll",,,,1478474645
20161NationalReuters,20161,20161National,polls_NL,2016,1,07.11.2016,National,Reuters,,0.00,0.00,0,0,,D,0.00,0,0,47.62,52.38,0.00,0.00,0,0,0,0,0.00,0.00,0,31.10.2016,04.11.2016,52.38,40.00,44.00,0.00,0.00,,2244,2.20,,,,"individual poll",,http://www.realclearpolitics.com/docs/2016/Reuters_Ipsos_June_18_to_22_2016.pdf,,1478473301
20161NationalNBC/WSJ,20161,20161National,polls_NL,2016,1,07.11.2016,National,NBC/WSJ,,0.00,0.00,0,0,,D,0.00,0,0,47.25,52.75,0.00,0.00,0,0,0,0,0.00,0.00,0,03.11.2016,05.11.2016,52.75,43.00,48.00,6.00,3.00,,1282,2.79,,"Likely Voters","Live Phone","individual poll",,,,1478474631
20161NationalNBC/SurveyMonkey,20161,20161National,polls_NL,2016,1,07.11.2016,National,NBC/SurveyMonkey,,0.00,0.00,0,0,,D,0.00,0,0,46.32,53.68,0.00,0.00,0,0,0,0,0.00,0.00,0,24.10.2016,30.10.2016,53.68,44.00,51.00,5.00,0.00,,40816,0.49,,"Likely Voters",Internet,"individual poll",,,,1477956248
20161NationalNBC,20161,20161National,polls_NL,2016,1,07.11.2016,National,"NBC News",,,,,,,D,,,,46.32,53.68,,,0,0,,,,,1,31.10.2016,06.11.2016,53.68,44,51,,,,3014,1,,,,"individual poll",,http://www.nbcnews.com/meet-the-press/nbc-wsj-poll-clinton-leads-trump-5-points-n598716?cid=sm_tw,,1478538104
20161NationalMonmouth,20161,20161National,polls_NL,2016,1,07.11.2016,National,"Monmouth University",,0.00,0.00,0,0,,D,0.00,0,0,46.81,53.19,0.00,0.00,0,0,0,0,0.00,0.00,0,03.11.2016,06.11.2016,53.19,44.00,50.00,1.00,5.00,,748,3.66,,"Likely Voters","Live Phone","individual poll",,,,1478561054
20161NationalMonmouth,20161,20161National,polls_NL,2016,1,07.11.2016,National,Monmouth,,,,,,,D,,,,46.81,53.19,,,0,0,,,,,1,03.11.2016,06.11.2016,53.19,44,50,,,,748,3.6,,,,"individual poll",,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/568faad2-81ab-4bd0-b373-8577326e76bd.pdf,,1478559693
20161NationalMcClatchy,20161,20161National,polls_NL,2016,1,07.11.2016,National,McClatchy,,0.00,0.00,0,0,,D,0.00,0,0,48.89,51.11,0.00,0.00,0,0,0,0,0.00,0.00,0,01.11.2016,03.11.2016,51.11,44.00,46.00,0.00,0.00,,940,3.20,,,,"individual poll",,"http://maristpoll.marist.edu/wp-content/misc/usapolls/us160329/MCC/General Election/McClatchy_Marist Poll_General Election__Complete Survey Findings_Nature of the Sample and Tables_April 2016.pdf",,1478473294
20161NationalLA,20161,20161National,polls_NL,2016,1,07.11.2016,National,"LA Times",,0.00,0.00,0,0,,R,0.00,0,0,52.75,47.25,0.00,0.00,0,0,0,0,0.00,0.00,0,30.10.2016,05.11.2016,47.25,48.00,43.00,0.00,0.00,,2988,4.50,,,,"individual poll",,,,1478473275
20161NationalIpsos/Reuters,20161,20161National,polls_NL,2016,1,07.11.2016,National,Ipsos/Reuters,,0.00,0.00,0,0,,D,0.00,0,0,47.62,52.38,0.00,0.00,0,0,0,0,0.00,0.00,0,31.10.2016,04.11.2016,52.38,40.00,44.00,10.00,7.00,,2244,2.11,,"Likely Voters",Internet,"individual poll",,,,1478474659
20161NationalIBD/TIPP,20161,20161National,polls_NL,2016,1,07.11.2016,National,IBD/TIPP,,,,,,,D,,,,49.41,50.59,,,0,0,,,,,1,03.11.2016,06.11.2016,50.59,42,43,9,5,,1026,3.1219527052723137,,"Likely Voters","Live Phone","individual poll",,,,1478561068
20161NationalIBD,20161,20161National,polls_NL,2016,1,07.11.2016,National,IBD,,,,,,,D,,,,49.41,50.59,,,0,0,,,,,1,03.11.2016,06.11.2016,50.59,42,43,,,,1026,3.1,,,,"individual poll",,http://www.investors.com/politics/clintons-lead-over-trump-narrows-as-disappointment-with-choices-grows/,,1478559673
20161NationalFOX,20161,20161National,polls_NL,2016,1,07.11.2016,National,FOX,,,,,,,D,,,,47.83,52.17,,,0,0,,,,,1,03.11.2016,06.11.2016,52.17,44,48,7,2,,1295,2.778850071883642,,"Likely Voters","Live Phone","individual poll",,http://www.foxnews.com/politics/2016/06/09/fox-news-poll-trump-drops-now-trails-clinton.html?intcmp=hpbt1,,1478561061
20161NationalEconomist,20161,20161National,polls_NL,2016,1,07.11.2016,National,Economist,,,,,,,D,,,,47.87,52.13,,,0,0,,,,,1,04.11.2016,07.11.2016,52.13,45,49,,,,3669,1.6509204383655283,,,,"individual poll",,http://www.realclearpolitics.com/docs/2016/Economist_YouGov_General_Election_June_18_20.pdf,,1478559666
20161NationalCBS/Times,20161,20161National,polls_NL,2016,1,07.11.2016,National,CBS/Times,,0.00,0.00,0,0,,D,0.00,0,0,47.78,52.22,0.00,0.00,0,0,0,0,0.00,0.00,0,02.11.2016,06.11.2016,52.22,43.00,47.00,5.00,5.00,,1426,2.65,,"Likely Voters","Live Phone","individual poll",,,,1478561076
20161NationalCBS,20161,20161National,polls_NL,2016,1,07.11.2016,National,CBS,,0.00,0.00,0,0,,D,0.00,0,0,47.78,52.22,0.00,0.00,0,0,0,0,0.00,0.00,0,02.11.2016,06.11.2016,52.22,43.00,47.00,0.00,0.00,,1426,3.00,,,,"individual poll",,http://www.cbsnews.com/news/clinton-maintains-lead-after-claiming-nomination-cbs-news-poll/,,1478559700
20161NationalBloomberg/Selzer,20161,20161National,polls_NL,2016,1,07.11.2016,National,Bloomberg/Selzer,,0.00,0.00,0,0,,D,0.00,0,0,48.31,51.69,0.00,0.00,0,0,0,0,0.00,0.00,0,04.11.2016,06.11.2016,51.69,43.00,46.00,6.00,5.00,,799,3.54,,"Likely Voters","Live Phone","individual poll",,,,1478561038
20161NationalBloomberg,20161,20161National,polls_NL,2016,1,07.11.2016,National,Bloomberg,,0.00,0.00,0,0,,D,0.00,0,0,48.31,51.69,0.00,0.00,0,0,0,0,0.00,0.00,0,04.11.2016,06.11.2016,51.69,43.00,46.00,0.00,0.00,,799,3.50,,,,"individual poll",,http://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rc0NltTBR0ug/v0,,1478559659
20161NationalABC/Post,20161,20161National,polls_NL,2016,1,07.11.2016,National,ABC/Post,,,,,,,D,,,,48.42,51.58,,,0,0,,,,,1,03.11.2016,06.11.2016,51.58,46,49,2,3,,2220,2.1223817998900443,,"Likely Voters","Live Phone","individual poll",,,,1478561046
20161NationalABC,20161,20161National,polls_NL,2016,1,07.11.2016,National,ABC,,,,,,,D,,,,48.42,51.58,,,0,0,,,,,1,03.11.2016,06.11.2016,51.58,46,49,,,,2220,2.5,,,,"individual poll",,,,1478559680
20162NationalYouGov,20162,20162National,polls_NL,2016,2,06.11.2016,National,YouGov,,0.00,0.00,0,0,,D,0.00,0,0,47.31,52.69,0.00,0.00,0,0,0,0,0.00,0.00,0,,,52.69,0.00,0.00,0.00,0.00,,0,0.00,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/yougov/,trump-vs-clinton,1477519311
20162NationalTPM,20162,20162National,polls_NL,2016,2,06.11.2016,National,"TPM Poll Tracker",,,,,,,D,,,,48.63,51.37,,,0,0,,,,,1,,,51.37,43.86697710662917,46.33546238468512,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/tpm-poll-tracker/,trump-vs-clinton,1478473330
20162NationalRealClearPolitics,20162,20162National,polls_NL,2016,2,06.11.2016,National,RealClearPolitics,,,,,,,D,,,,49.02,50.98,,,0,0,,,,,1,,,50.98,,,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/realclearpolitics/,trump-vs-clinton,1478494855
20162NationalPEC,20162,20162National,polls_NL,2016,2,06.11.2016,National,PEC,,,,,,,D,,,,48.7,51.30,,,0,0,,,,,1,,,51.30,,,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/princeton-election-consortium/,trump-vs-clinton,1478473321
20162NationalHuffPost,20162,20162National,polls_NL,2016,2,06.11.2016,National,"HuffPost Pollster",,,,,,,D,,,,47.14,52.86,,,0,0,,,,,1,,,52.86,,,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/huffpost-pollster/,trump-vs-clinton,1478474663
20162NationalElection,20162,20162National,polls_NL,2016,2,06.11.2016,National,"Election Projection",,,,,,,D,,,,48.84,51.16,,,0,0,,,,,1,,,51.16,46.400000000000006,48.6,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/election-projection/,trump-vs-clinton,1478473306
20162National538,20162,20162National,polls_NL,2016,2,06.11.2016,National,"538 (polls-only)",,,,,,,D,,,,48.45,51.55,,,0,0,,,,,1,,,51.55,0.454,0.483,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/538-polls/,trump-vs-clinton,1478473316
20162National270,20162,20162National,polls_NL,2016,2,06.11.2016,National,"270 to win",,,,,,,D,,,,47.78,52.22,,,0,0,,,,,1,,,52.22,0.431,0.471,,,,,,,,,"poll aggregator",,http://pollyvote.com/en/components/polls/270-to-win/,trump-vs-clinton,1478473311
20162NationalUPI/CVOTER,20162,20162National,polls_NL,2016,2,06.11.2016,National,UPI/CVOTER,,0.00,0.00,0,0,,D,0.00,0,0,48.42,51.58,0.00,0.00,0,0,0,0,0.00,0.00,0,30.10.2016,05.11.2016,51.58,46.00,49.00,0.00,5.00,,1572,2.52,,"Likely Voters",Internet,"individual poll",,,,1478474645
20162NationalReuters,20162,20162National,polls_NL,2016,2,06.11.2016,National,Reuters,,0.00,0.00,0,0,,D,0.00,0,0,47.62,52.38,0.00,0.00,0,0,0,0,0.00,0.00,0,31.10.2016,04.11.2016,52.38,40.00,44.00,0.00,0.00,,2244,2.20,,,,"individual poll",,http://www.realclearpolitics.com/docs/2016/Reuters_Ipsos_June_18_to_22_2016.pdf,,1478473301
20162NationalNBC/WSJ,20162,20162National,polls_NL,2016,2,06.11.2016,National,NBC/WSJ,,0.00,0.00,0,0,,D,0.00,0,0,47.25,52.75,0.00,0.00,0,0,0,0,0.00,0.00,0,03.11.2016,05.11.2016,52.75,43.00,48.00,6.00,3.00,,1282,2.79,,"Likely Voters","Live Phone","individual poll",,,,1478474631
20162NationalNBC,20162,20162National,polls_NL,2016,2,06.11.2016,National,"NBC News",,,,,,,D,,,,47.25,52.75,,,0,0,,,,,1,03.11.2016,05.11.2016,52.75,43,48,,,,1282,2.7,,,,"individual poll",,http://www.nbcnews.com/meet-the-press/nbc-wsj-poll-clinton-leads-trump-5-points-n598716?cid=sm_tw,,1478473259
20162NationalMcClatchy/Marist,20162,20162National,polls_NL,2016,2,06.11.2016,National,McClatchy/Marist,,0.00,0.00,0,0,,D,0.00,0,0,48.89,51.11,0.00,0.00,0,0,0,0,0.00,0.00,0,01.11.2016,03.11.2016,51.11,44.00,46.00,2.00,8.00,,940,3.26,,"Likely Voters","Live Phone","individual poll",,,,1478453067
20162NationalMcClatchy,20162,20162National,polls_NL,2016,2,06.11.2016,National,McClatchy,,0.00,0.00,0,0,,D,0.00,0,0,48.89,51.11,0.00,0.00,0,0,0,0,0.00,0.00,0,01.11.2016,03.11.2016,51.11,44.00,46.00,0.00,0.00,,940,3.20,,,,"individual poll",,"http://maristpoll.marist.edu/wp-content/misc/usapolls/us160329/MCC/General Election/McClatchy_Marist Poll_General Election__Complete Survey Findings_Nature of the Sample and Tables_April 2016.pdf",,1478473294
20162NationalLA,20162,20162National,polls_NL,2016,2,06.11.2016,National,"LA Times",,0.00,0.00,0,0,,R,0.00,0,0,52.75,47.25,0.00,0.00,0,0,0,0,0.00,0.00,0,30.10.2016,05.11.2016,47.25,48.00,43.00,0.00,0.00,,2988,4.50,,,,"individual poll",,,,1478473275
20162NationalIpsos/Reuters,20162,20162National,polls_NL,2016,2,06.11.2016,National,Ipsos/Reuters,,0.00,0.00,0,0,,D,0.00,0,0,47.62,52.38,0.00,0.00,0,0,0,0,0.00,0.00,0,31.10.2016,04.11.2016,52.38,40.00,44.00,10.00,7.00,,2244,2.11,,"Likely Voters",Internet,"individual poll",,,,1478474659
20162NationalIBD/TIPP,20162,20162National,polls_NL,2016,2,06.11.2016,National,IBD/TIPP,,,,,,,D,,,,49.44,50.56,,,0,0,,,,,1,02.11.2016,05.11.2016,50.56,44,45,7,4,,903,3.3277916281986086,,"Likely Voters","Live Phone","individual poll",,,,1478474638
