pkyeardaystatefc,pkyearday,pkyeardaystate,fccomponent,electionyear,daystoelection,fcdate,state,forecast,incumbentpresident,nfcvs,nfcwinprob,nfcwinfreq,fcevrep,fcevdem,fcwinner,fcwinnervs,fcwinnerwinprob,fcwinnerwinfreq,fcwinnerpollyvotefreq,fcrepvs,fcdemvs,fcrepwinprob,fcdemwinprob,fcrepwinfreq,fcdemwinfreq,fcrepwinpollyvotefreq,fcdemwinpollyvotefreq,fcerror,absolutefcerror,fcupdate,lastsurveyday,firstsurveyday,inc2party,resprep,respdem,respoth,respundecided,released,sample,moe,questiontxt,sampledesc,intmethod,surveyorg,surveysponsor,sourcedocumentlink
20121NationalUSTARR.12BRUSH6.R07,20121,20121National,intentions_NL,2012,1,05.11.2012,National,USTARR.12BRUSH6.R07,D,,,,,,R,R,,,,51.1,48.9,,,,,,,2.6,2.6,1,04.11.2012,05.11.2012,48.9,48,46,,,06.11.2012,1000,,"And, still thinking about this (2012) election...If the Presidential election were held today and you had to make a choice, for whom would you vote...Mitt Romney, the Republican, or Barack Obama, the Democrat? (If Undecided, ask:) And which candidate do you lean toward slightly? (If Romney/Obama, ask:) Would you say that you are definitely going to vote for him, or probably going to vote for him?",,,,,
20122NationalUSABCWP.110512.R03,20122,20122National,intentions_NL,2012,2,04.11.2012,National,USABCWP.110512.R03,D,,,,,,D,D,,,,48.5,51.5,,,,,,,5.2,5.2,1,01.11.2012,04.11.2012,51.5,47,50,,,05.11.2012,3205,,"(If Certain to vote in the 2012 presidential election, ask:) If the presidential election were being held today and the candidates were Barack Obama and Joe Biden, the Democrats and Mitt Romney and Paul Ryan, the Republicans, for whom would you vote? (If Other/Neither/Undecided, ask:) Which candidates are you leaning toward, Barack Obama and Joe Biden, the Democrats or Mitt Romney and Paul Ryan, the Republicans? (If Already voted, ask:) For whom did you vote?",,,,,
20122NationalUSGREEN.12DCNOV.R28,20122,20122National,intentions_NL,2012,2,04.11.2012,National,USGREEN.12DCNOV.R28,D,,,,,,D,D,,,,47.8,52.2,,,,,,,5.8,5.8,1,01.11.2012,04.11.2012,52.2,44,48,,,05.11.2012,1080,,"(If Already voted, ask:) Thinking about the (2012) presidential election, did you vote for Democrat Barack Obama or Republican Mitt Romney? (If Not already voted, ask:) Thinking about the presidential election Tuesday, November 6 (2012), if the election for president were held today and the candidates were--Democrat Barack Obama and Republican Mitt Romney, for whom would you vote? (If Other/Undecided/Refused, ask:) Well, if the election for president were held today and you had to decide right now, to which candidate would you lean--Democrat Barack Obama or Republican Mitt Romney?",,,,,
20122NationalUSMONM.110512.R01,20122,20122National,intentions_NL,2012,2,04.11.2012,National,USMONM.110512.R01,D,,,,,,Tie,Tie,,,,50,50,,,,,,,3.6,3.6,1,01.11.2012,04.11.2012,50,48,48,,,05.11.2012,1417,,"If the (2012) election for President were today, would you vote for Mitt Romney the Republican, or Barack Obama the Democrat, or some other candidate? (If Undecided, ask:) At this moment, do you lean towards Mitt Romney or do you lean towards Barack Obama?",,,,,
20122NationalUSORC.110412.R01,20122,20122National,intentions_NL,2012,2,04.11.2012,National,USORC.110412.R01,D,,,,,,D,D,,,,49,51,,,,,,,4.6,4.6,1,02.11.2012,04.11.2012,51,48,50,,,04.11.2012,1010,,"Suppose that the (2012) presidential election were being held today and you had to choose between Barack Obama and Joe Biden as the Democratic Party's candidates, and Mitt Romney and Paul Ryan as the Republican Party's candidates. Who would you be more likely to vote for--Barack Obama and Joe Biden, the Democrats, or Mitt Romney and Paul Ryan, the Republicans? (If Unsure, ask:) As of today, who do you lean more toward?",,,,,
20122NationalUSORC.110412.R05,20122,20122National,intentions_NL,2012,2,04.11.2012,National,USORC.110412.R05,D,,,,,,D,D,,,,48.9,51.1,,,,,,,4.7,4.7,1,02.11.2012,04.11.2012,51.1,46,48,,,04.11.2012,1010,,"Now suppose that the (2012) presidential (election) candidates on the ballot in your state included Barack Obama as the Democratic Party's candidate, Mitt Romney as the Republican candidate, Gary Johnson as the Libertarian party candidate, and Jill Stein as the Green party candidate, who would you be more likely to vote for? (If Unsure, ask:) As of today, who do you lean more toward?",,,,,
20123NationalUSABCWP.110412A.R03,20123,20123National,intentions_NL,2012,3,03.11.2012,National,USABCWP.110412A.R03,D,,,,,,D,D,,,,49.5,50.5,,,,,,,4.1,4.1,1,31.10.2012,03.11.2012,50.5,48,49,,,04.11.2012,2846,,"(If Certain to vote in the 2012 presidential election, ask:) If the presidential election were being held today and the candidates were Barack Obama and Joe Biden, the Democrats, and Mitt Romney and Paul Ryan, the Republicans, for whom would you vote? (If Other/Neither/Undecided, ask:) Which candidates are you leaning toward, Barack Obama and Joe Biden, the Democrats or Mitt Romney and Paul Ryan, the Republicans? (If Already voted, ask:) For whom did you vote?",,,,,
20123NationalUSNBCWSJ.12NOV.R08,20123,20123National,intentions_NL,2012,3,03.11.2012,National,USNBCWSJ.12NOV.R08,D,,,,,,D,D,,,,49.5,50.5,,,,,,,4.1,4.1,1,01.11.2012,03.11.2012,50.5,47,48,,,04.11.2012,1800,,"If the next election for president (in 2012) were held today, with Mitt Romney and Paul Ryan as the Republican candidates, and Barack Obama and Joe Biden as the Democratic candidates, for whom would you vote?",,,,,
20123NationalUSPSRA.110412.R05A,20123,20123National,intentions_NL,2012,3,03.11.2012,National,USPSRA.110412.R05A,D,,,,,,D,D,,,,46.2,53.8,,,,,,,7.5,7.5,1,31.10.2012,03.11.2012,53.8,42,49,,,04.11.2012,3815,,"If the (2012) presidential election were being held today, would you vote for the Republican ticket of Mitt Romney and Paul Ryan, for the Democratic ticket of Barack Obama and Joe Biden, for the Libertarian Party ticket headed by Gary Johnson or the Green Party ticket headed by Jill Stein? (If Other/Don't know, ask:) As of today, do you lean more to Romney, Obama, Johnson or Stein?",,,,,
20124NationalUSABCWP.110412.R03,20124,20124National,intentions_NL,2012,4,02.11.2012,National,USABCWP.110412.R03,D,,,,,,Tie,Tie,,,,50,50,,,,,,,3.6,3.6,1,30.10.2012,02.11.2012,50,48,48,,,04.11.2012,2487,,"(If Certain to vote in the 2012 presidential election, ask:) If the presidential election were being held today and the candidates were Barack Obama and Joe Biden, the Democrats and Mitt Romney and Paul Ryan, the Republicans, for whom would you vote? (If Other/Neither/Undecided, ask:) Which candidates are you leaning toward, Barack Obama and Joe Biden, the Democrats or Mitt Romney and Paul Ryan, the Republicans? (If Already voted, ask:) For whom did you vote?",,,,,
