pkyeardaystatefc,pkyearday,pkyeardaystate,fccomponent,electionyear,daystoelection,fcdate,state,forecast,incumbentpresident,nfcvs,nfcwinprob,nfcwinfreq,fcevrep,fcevdem,fcwinner,fcwinnervs,fcwinnerwinprob,fcwinnerwinfreq,fcwinnerpollyvotefreq,fcrepvs,fcdemvs,fcrepwinprob,fcdemwinprob,fcrepwinfreq,fcdemwinfreq,fcrepwinpollyvotefreq,fcdemwinpollyvotefreq,fcerror,absolutefcerror,fcupdate,lastsurveyday,firstsurveyday,inc2party,resprep,respdem,respoth,respundecided,released,sample,moe,questiontxt,sampledesc,intmethod,surveyorg,surveysponsor,sourcedocumentlink
20127NationalUSCBSNYT.103012.R09,20127,20127National,expectations_NL,2012,7,30.10.2012,National,USCBSNYT.103012.R09,D,,,,,,D,D,,,,49.1,50.9,,,36,49,,,4.5,4.5,1,28.10.2012,25.10.2012,57.6,36,49,0,,30.10.2012,898,,"Regardless of how you intend to vote for President in 2012, who do you expect to finally win the 2012 presidential election--Mitt Romney or Barack Obama?","national adult",telephone,"CBS News/New York Times",,
20127NationalUSGALLUP.103112.R01,20127,20127National,expectations_NL,2012,7,31.10.2012,National,USGALLUP.103112.R01,D,,,,,,D,D,,,,48.5,51.5,,,34,54,,,5.1,5.1,1,28.10.2012,27.10.2012,61.4,34,54,0,,30.10.2012,1063,,"Regardless of whom you support, and trying to be as objective as possible, who do you think will win the (presidential) election in November (2012)--Barack Obama or Mitt Romney?","national adult",telephone,"Gallup Organization",,
201211NationalUSABCWP.102512.R21,201211,201211National,expectations_NL,2012,11,25.10.2012,National,USABCWP.102512.R21,D,,,,,,D,D,,,,49.3,50.7,,,40,52,,,4.3,4.3,1,24.10.2012,21.10.2012,56.5,40,52,0,,26.10.2012,1773,,"Just your best guess, who do you think will win the presidential election this year (2012)--(Barack) Obama or (Mitt) Romney?","national adult",telephone,"ABC News/Washington Post",,
201222NationalUSABCWP.101512.R28,201222,201222National,expectations_NL,2012,22,15.10.2012,National,USABCWP.101512.R28,D,,,,,,D,D,,,,48.2,51.8,,,33,57,,,5.5,5.5,1,13.10.2012,10.10.2012,63.3,33,57,0,,15.10.2012,1252,,"Just your best guess, who do you think will win the presidential election this year (2012)--(Barack) Obama or (Mitt) Romney?","national adult",telephone,"ABC News/Washington Post",,
201236NationalUSABCWP.100112.R31,201236,201236National,expectations_NL,2012,36,01.10.2012,National,USABCWP.100112.R31,D,,,,,,D,D,,,,47.5,52.5,,,31,63,,,6.1,6.1,1,29.09.2012,26.09.2012,67,31,63,0,,01.10.2012,1101,,"Just your best guess, who do you think will win the presidential election this year (2012)--(Barack) Obama or (Mitt) Romney?","national adult",telephone,"ABC News/Washington Post",,
201271NationalUSABCWP.082712.R32,201271,201271National,expectations_NL,2012,71,27.08.2012,National,USABCWP.082712.R32,D,,,,,,D,D,,,,48.1,51.9,,,34,59,,,5.5,5.5,1,25.08.2012,22.08.2012,63.4,34,59,0,,27.08.2012,1002,,"Just your best guess, who do you think will win the presidential election this year--(Barack) Obama or (Mitt) Romney?","national adult",telephone,"ABC News/Washington Post",,
2012119NationalUSABCWP.071012.R18,2012119,2012119National,expectations_NL,2012,119,10.07.2012,National,USABCWP.071012.R18,D,,,,,,D,D,,,,48.2,51.8,,,34,58,,,5.4,5.4,1,08.07.2012,05.07.2012,63,34,58,0,,10.07.2012,1003,,"Just your best guess, who do you think will win the presidential election this year (2012)--(Barack) Obama or (Mitt) Romney?","national adult",telephone,"ABC News/Washington Post",,
20087NationalUSGALLUP.08OCT23.R1,20087,20087National,expectations_NL,2008,7,28.10.2008,National,USGALLUP.08OCT23.R1,R,,,,,,D,D,,,,45.2,54.8,,,23,71,,,-1.2,1.2,1,26.10.2008,23.10.2008,24.5,23,71,6,,28.10.2008,1010,,"Regardless of whom you support, and trying to be objective as possible, who do you think will win the presidential election in November (2008)--Barack Obama or John McCain?","national adult",telephone,"Gallup Organization",,
200811NationalUSCBSNYT.102308A.R11,200811,200811National,expectations_NL,2008,11,23.10.2008,National,USCBSNYT.102308A.R11,R,,,,,,D,D,,,,45,55,,,20,65,,,-1.4,1.4,1,22.10.2008,19.10.2008,23.5,20,65,15,,24.10.2008,1152,,"Regardless of how you intend to vote for President in 2008, who do you expect to finally win the 2008 presidential election--John McCain or Barack Obama?","national adult",telephone,"CBS News/New York Times",,
200847NationalUSCBSNYT.091708A.R10,200847,200847National,expectations_NL,2008,47,17.09.2008,National,USCBSNYT.091708A.R10,R,,,,,,D,D,,,,48.8,51.2,,,38,45,,,2.5,2.5,1,16.09.2008,12.09.2008,45.8,38,45,17,,18.09.2008,1133,,"Regardless of how you intend to vote for President in 2008, who do you expect to finally win the 2008 presidential election--John McCain or Barack Obama?","national adult",telephone,"CBS News/New York Times",,
